,Unnamed: 0,Unnamed: 0.1,State,District,MapeScore arima,MapeScore var,MapeScore poly
167,167,167,Andhra Pradesh,Guntur,3.002845383098982,8.908024382485106,14.877243217812335
168,168,168,Haryana,Panipat,4.365342282121596,12.145433749813519,75.53879427478897
170,170,170,Bihar,Nalanda,20.103497649130205,0.5899890805173328,11.156005384922972
175,175,175,Kerala,Palakkad,11.705521508688587,1.0416553974850007,4.721638116747871
177,177,177,Uttar Pradesh,Rampur,8.322948409892964,0.5197418359356749,7.5850702175761855
178,178,178,Uttar Pradesh,Etah,10.887408940882347,13.414888100967769,5.772688268262466
179,179,179,Rajasthan,Pali,3.743709866485554,2.562327977779073,7.07304135826725
180,180,180,Rajasthan,Jodhpur,1.9756585665407682,3.9853862613503863,5.36562658155197
181,181,181,Uttar Pradesh,Basti,7.519230789041277,12.099859388158587,11.782027479273891
183,183,183,Tamil Nadu,Viluppuram,3.159530589503288,6.89762562814642,44.60079824632162
185,185,185,Punjab,Kapurthala,14.295805743760054,16.150863567435046,40.70664098358963
186,186,186,Madhya Pradesh,Jabalpur,10.428424431610138,19.746758713031472,9.610969448241413
187,187,187,Maharashtra,Yavatmal,21.7089814886679,2.2977092888111774,4.208093744543729
189,189,189,Bihar,Saran,17.498764383709972,1.2474377269620256,12.475491779819524
191,191,191,Andhra Pradesh,Chittoor,7.854533693767069,1.018756368217453,16.039418155388358
192,192,192,Kerala,Thrissur,12.58338010089888,8.36524412995664,2.185424276380676
194,194,194,Uttar Pradesh,Mainpuri,11.064589487557301,2.707839493974309,4.8327541623242585
197,197,197,Uttar Pradesh,Ambedkar Nagar,3.998376031573158,2.9486244226919083,6.589602553083537
201,201,201,Tamil Nadu,Cuddalore,5.879822354731313,7.660304225929179,80.50003488162628
205,205,205,Himachal Pradesh,Hamirpur,30.625623233572284,18.310487173425997,17.19366796663146
211,211,211,Rajasthan,Pratapgarh,93.18176476609214,50.85479900488041,191.31388958673386
